family,model,algo,L,N,sweeps,repeat,wall_s,sweeps_per_s,updates_per_s,vmpeak_kb,vmhwm_kb,threads
lattice,kitaev-honeycomb,metropolis,32,2048,300,1,9.999296e-03,3.000211e+04,6.144433e+07,38660,8964,4
lattice,kitaev-honeycomb,metropolis,32,2048,300,2,9.421119e-03,3.184335e+04,6.521518e+07,38660,8964,4
lattice,kitaev-honeycomb,over,32,2048,300,0,8.056998e-03,3.723471e+04,7.625669e+07,38660,8964,4
lattice,kitaev-honeycomb,over,32,2048,300,1,8.492080e-03,3.532703e+04,7.234977e+07,38660,8964,4
lattice,kitaev-honeycomb,over,32,2048,300,2,8.194292e-03,3.661085e+04,7.497902e+07,38660,8964,4
lattice,kitaev-honeycomb,met+5over,32,2048,300,0,4.051954e-02,7.403834e+03,1.516305e+07,38660,8964,4
lattice,kitaev-honeycomb,met+5over,32,2048,300,1,4.150028e-02,7.228867e+03,1.480472e+07,38660,8964,4
lattice,kitaev-honeycomb,met+5over,32,2048,300,2,3.505308e-02,8.558448e+03,1.752770e+07,38660,8964,4
lattice,kitaev-honeycomb,wolff,32,2048,300,0,1.076690e-03,2.786317e+05,5.706378e+08,38660,8964,4
lattice,kitaev-honeycomb,wolff,32,2048,300,1,1.080156e-03,2.777377e+05,5.688067e+08,38660,8964,4
lattice,kitaev-honeycomb,wolff,32,2048,300,2,1.057981e-03,2.835590e+05,5.807288e+08,38660,8964,4
lattice,kitaev-honeycomb,swendsen_wang,32,2048,300,0,1.419356e-02,2.113635e+04,4.328724e+07,38660,8964,4
lattice,kitaev-honeycomb,swendsen_wang,32,2048,300,1,1.395386e-02,2.149943e+04,4.403083e+07,38660,8964,4
lattice,kitaev-honeycomb,swendsen_wang,32,2048,300,2,1.404596e-02,2.135845e+04,4.374212e+07,38660,8964,4
lattice,pyrochlore,metropolis,6,864,300,0,5.469447e-03,5.485015e+04,4.739053e+07,38660,8964,4
lattice,pyrochlore,metropolis,6,864,300,1,6.277714e-03,4.778810e+04,4.128892e+07,38660,8964,4
lattice,pyrochlore,metropolis,6,864,300,2,5.583575e-03,5.372902e+04,4.642187e+07,38660,8964,4
lattice,pyrochlore,over,6,864,300,0,4.165090e-03,7.202726e+04,6.223155e+07,38660,8964,4
lattice,pyrochlore,over,6,864,300,1,4.783916e-03,6.271013e+04,5.418155e+07,38660,8964,4
lattice,pyrochlore,over,6,864,300,2,4.262994e-03,7.037308e+04,6.080234e+07,38660,8964,4
lattice,pyrochlore,met+5over,6,864,300,0,3.130430e-02,9.583347e+03,8.280012e+06,38660,8964,4
lattice,pyrochlore,met+5over,6,864,300,1,2.652477e-02,1.131018e+04,9.771997e+06,38660,8964,4
lattice,pyrochlore,met+5over,6,864,300,2,2.781517e-02,1.078548e+04,9.318658e+06,38660,8964,4
lattice,pyrochlore,wolff,6,864,300,0,7.911460e-03,3.791968e+04,3.276260e+07,38660,8964,4
lattice,pyrochlore,wolff,6,864,300,1,8.428489e-03,3.559357e+04,3.075284e+07,38660,8964,4
lattice,pyrochlore,wolff,6,864,300,2,8.286736e-03,3.620243e+04,3.127890e+07,38660,8964,4
lattice,pyrochlore,swendsen_wang,6,864,300,0,2.041528e-02,1.469487e+04,1.269637e+07,38660,8964,4
lattice,pyrochlore,swendsen_wang,6,864,300,1,2.073316e-02,1.446958e+04,1.250171e+07,38660,8964,4
lattice,pyrochlore,swendsen_wang,6,864,300,2,2.081968e-02,1.440944e+04,1.244976e+07,38660,8964,4
mixed,tmfeo3-bilinear,metropolis,4,512,300,0,5.657716e-02,5.302493e+03,2.714876e+06,240752,14352,4
mixed,tmfeo3-bilinear,metropolis,4,512,300,1,5.081986e-02,5.903204e+03,3.022440e+06,240752,14352,4
